,PC1,
Bhlhe40,0.065942399,
Cdkn1a,0.062522332,
Anxa1,0.062156235,
Tpi1,0.060708895,
Map2k3,0.059697821,
Serpinb1a,0.058052775,
Syngr2,0.057580758,
Lgals3,0.056802475,
Uqcr11,0.056553327,
Carhsp1,0.05603308,
B9d2,0.055813765,
Jun,0.054918152,
Plin2,0.054635176,
Plekho2,0.053995524,
Mfsd10,0.053976442,
Rhoc,0.053453542,
Hk2,0.053384475,
Ubc,0.053240773,
Myadm,0.052969419,
Cd44,0.052503683,
Litaf,0.052283438,
BC004004,0.052004272,
Dusp1,0.051697164,
Cox8a,0.051490966,
Rgs2,0.051380574,
Rrbp1,0.051304037,
Anapc13,0.051237439,
Atp6v1f,0.050810599,
Eif4ebp1,0.050737808,
Cox6b1,0.050251423,
Furin,0.04998202,
Atox1,0.049807546,
Atf3,0.049770915,
Sdf2l1,0.049668417,
Eea1,0.049403762,
Mapkapk2,0.04932292,
S100a11,0.049143365,
Cox6a1,0.048845795,
Slc25a39,0.048745295,
Comt,0.048506779,
Cyba,0.048424211,
Stx11,0.048368533,
Gabarapl1,0.048207836,
Cks2,0.047901539,
Aplp2,0.047643573,
Leprot,0.047477907,
Slc25a1,0.047474698,
Calm3,0.046847279,
Cyb5r3,0.046764578,
Pacsin2,0.046685573,
Lmo4,0.046659077,
Mapre2,0.046540666,
Fos,0.045992094,
Cited4,0.045932728,
Rnh1,0.045878258,
Evi2a,0.045777808,
Ehbp1l1,0.045531722,
Ell2,0.045513651,
Dennd5a,0.045273499,
Dctn2,0.044758781,
Klf4,0.044542669,
Smdt1,0.044376549,
Gadd45b,0.044372991,
Rilpl2,0.043990371,
Xbp1,0.043977738,
Ern1,0.043882081,
Mt1,0.043875825,
Tmbim1,0.043761696,
Pnpla2,0.043756901,
Emp1,0.043679201,
Hbegf,0.04362587,
Smim3,0.043214046,
Fosb,0.042997845,
Pdia6,0.042986622,
Bcl2a1d,0.042591739,
Glrx,0.042542128,
Trappc3,0.042534989,
Slc35c2,0.042273321,
Tnfsf9,0.042006391,
Elof1,0.041887582,
Gng2,0.041860344,
Pgk1,0.041858252,
Psap,0.041397055,
Gm5617,0.041281593,
Rgs1,0.041054471,
S100a6,0.040862498,
Atf6,0.040549773,
H1f4,0.040470026,
Ergic1,0.040316624,
Gpx1,0.040187241,
Rnf19b,0.04016506,
Ufc1,0.040149039,
Scpep1,0.040078542,
Creld2,0.040029688,
Cysltr1,0.039984953,
Ppp1r15a,0.039685448,
Hes1,0.039670217,
Capg,0.039515233,
Prdx4,0.0393855,
Cited2,0.039275603,
Ebp,0.039186108,
Ctsb,0.039182392,
Krtcap2,0.038907431,
Klf10,0.038810666,
Pqlc3,0.038487904,
Gla,0.03828879,
Junb,0.038113796,
Anxa2,0.037892574,
Frmd4b,0.037746293,
Tmem120a,0.037515903,
Pih1d1,0.037480311,
Ssr2,0.037155837,
Gngt2,0.036909969,
Arhgap18,0.0369046,
Rfc2,0.036665725,
Wwp2,0.036558921,
Lamtor1,0.036370392,
Icam1,0.036143817,
Hspa1b,0.0359468,
Antxr2,0.035804622,
Hmgb2,0.035679801,
Ndufa11,0.035587444,
Ccdc50,0.035559157,
Hgsnat,0.035496983,
Dennd4a,0.035401115,
Myo1f,0.035365198,
Cmtm7,0.035361354,
Nfil3,0.035337825,
Fosl2,0.035080105,
Pfdn1,0.034790894,
Wdfy1,0.034728483,
Atp2b4,0.034712942,
Pxn,0.034695757,
Klrg1,0.033979599,
Elmo2,0.033492302,
Sil1,0.03340916,
Cd74,0.033329609,
Tcirg1,0.033043074,
Serpinb9,0.033035325,
Tbc1d9b,0.032987803,
Aurkaip1,0.032597751,
Aph1a,0.032485355,
Id2,0.032440293,
Per1,0.032263162,
