,CD161int 1,CD161neg 2,CD161hi 1,CD161neg 1,CD161hiCD56pos 3,CD161hi 3,CD161hi 2,CD161int 3,CD161hiCD56pos 2,CD161neg 3,CD161hiCD56pos 1,CD161int 2
100287102,0,0,0,0,0,1,3,48,1,1,1,1
653635,452,170,592,532,1109,930,484,580,626,1137,994,382
102466751,0,0,1,0,0,0,2,0,0,0,0,0
100302278,0,0,0,0,0,0,0,2,0,0,0,0
645520,5,3,0,0,2,8,2,2,5,0,5,1
79501,3,0,3,1,5,3,1,4,2,9,8,5
729737,77,11,27,37,25,3,61,43,89,88,50,12
102725121,0,0,0,0,16,1,3,34,0,1,1,1
102723897,340,189,502,427,986,867,469,555,532,1104,986,397
102465909,0,0,1,0,0,0,2,0,0,0,0,0
729759,23,25,16,27,30,22,22,12,18,68,28,17
100132287,75,6,26,48,10,2,61,29,33,129,45,2
105378947,4,1,3,1,26,34,0,0,0,1,2,2
101928626,1,4,0,0,1,1,1,0,3,3,2,2
102465432,3757,1879,4247,4135,7103,7019,5037,3914,6289,8550,5958,2773
81399,7,11,0,21,6,4,7,0,11,19,2,2
100133331,67,9,26,47,10,4,58,26,33,130,41,2
100288069,702,241,506,596,293,744,641,399,804,605,340,547
400728,185,40,75,0,112,0,252,60,219,401,267,237
79854,169,30,117,129,37,113,154,30,259,94,89,88
643837,1011,565,1041,695,652,1027,637,875,72,1710,554,374
284593,58,58,56,111,81,123,52,58,85,108,32,44
100130417,0,0,0,3,0,0,0,0,0,0,0,0
148398,0,0,0,0,0,1,0,0,0,0,0,0
26155,109,11,0,55,0,17,22,28,68,29,0,0
339451,31,0,3,13,0,5,52,60,0,10,0,23
84069,1,0,1,1,2,0,0,0,0,0,0,0
84808,2,0,0,0,11,0,1,0,0,0,12,0
57801,637,716,249,1126,274,749,708,174,616,505,505,475
9636,9147,7486,8208,11482,11995,14616,7784,8686,8358,22763,9785,7010
375790,0,0,0,0,0,0,1,0,0,0,4,10
105369174,0,0,0,23,17,98,2,20,29,41,36,0
105378948,13,5,1,0,53,27,37,15,4,25,4,14
401934,0,0,0,0,0,0,0,0,0,0,0,0
54991,4,0,84,12,0,135,139,0,26,3,67,36
254099,0,0,0,0,0,0,0,0,0,0,0,0
406984,0,0,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0,0,0,0
254173,0,0,0,0,0,0,58,0,15,1,3,0
8784,1561,91,1129,656,620,623,397,532,346,816,548,575
7293,1690,829,1158,1975,945,2659,1275,2041,424,2967,1155,831
51150,172,79,156,209,517,304,469,60,147,230,407,122
126792,310,330,74,399,61,253,195,29,290,286,285,51
388581,71,0,0,65,0,0,0,0,0,0,0,0
118424,288,152,177,603,190,230,407,382,313,261,149,18
6339,0,9,3,0,0,37,2,6,20,0,13,0
116983,6,0,2,102,22,103,50,2,53,133,40,28
102465434,0,0,0,0,0,0,0,0,0,0,0,0
126789,267,1,92,85,96,215,272,0,0,39,126,0
54973,37,54,255,283,157,195,187,124,9,115,43,30
102465435,0,0,0,0,0,0,0,0,0,0,0,0
80772,0,109,0,18,94,1,10,9,2,55,6,24
83756,0,0,0,0,0,0,0,0,0,0,0,1
1855,5,1,0,37,59,0,21,0,42,106,28,75
102466740,0,0,0,0,0,0,0,0,0,0,0,0
54587,1,1,0,0,0,1,8,0,0,0,0,0
54998,1735,903,721,2181,1850,1734,1436,1376,2115,3445,1326,1485
81669,1441,813,1801,2416,807,951,2379,1638,2403,4205,1445,810
148413,0,0,27,13,0,15,98,28,65,171,7,1
55052,2506,2226,1480,2816,3355,3526,1571,2933,2937,4660,2619,1482
441869,0,0,0,0,0,0,0,0,0,0,0,1
643965,0,0,0,0,0,0,0,0,0,0,0,0
102724312,0,0,0,0,0,0,0,0,0,0,0,0
64856,0,0,0,0,0,0,0,0,0,0,0,0
219293,4,0,30,51,6,69,18,3,21,36,4,6
83858,38,8,96,24,92,40,10,96,98,260,99,116
55210,23,8,42,55,80,17,17,63,60,70,19,10
339453,0,0,0,0,0,0,0,0,0,0,3,0
29101,1521,1742,745,2705,2132,2910,2493,2985,2119,4551,1762,1989
643988,0,0,0,0,0,2,0,1,0,0,0,21
142678,35,49,164,35,149,242,218,163,302,339,307,77
8510,0,1,0,0,0,0,1,0,0,0,0,0
984,1891,3054,1000,2229,1130,2756,3637,1265,3220,2916,1518,3165
728661,258,305,405,267,123,345,1179,344,1182,399,561,865
8511,0,0,0,0,0,0,0,0,0,0,0,0
728642,2651,2960,1250,2146,1155,2454,3234,1160,2910,2425,1991,2664
9906,164,259,342,234,126,309,1185,300,1101,384,539,796
65220,57,13,117,48,45,153,108,36,104,53,99,55
2782,758,288,1106,1343,1136,904,1537,963,851,3173,521,928
105378949,0,0,1,0,2,0,0,0,14,12,0,0
163688,0,0,3,0,0,0,0,0,3,0,2,0
339456,0,58,0,0,6,0,0,0,0,0,0,0
85452,0,0,0,3,0,0,0,0,0,0,0,3
2563,0,0,0,0,0,0,0,0,0,0,0,0
5590,3,6,82,1,0,46,11,5,102,0,21,0
100506504,0,0,0,0,0,0,0,0,0,0,0,0
199990,829,652,405,974,1273,1281,664,1062,1142,1605,872,683
105378592,1,0,0,0,0,0,0,0,0,0,0,9
6497,107,71,353,311,39,383,718,96,279,434,510,279
105378594,0,0,11,0,0,0,0,0,0,0,0,88
79906,1,14,6,1,0,26,17,1,4,48,20,1
100129534,13,6,9,16,11,14,7,13,11,18,5,30
11079,2272,462,2116,1443,2571,1974,2034,1982,2059,4988,1256,1528
5192,0,6,6,0,0,0,0,21,0,1,13,0
9651,51,0,47,0,22,64,66,26,80,12,13,146
55229,115,0,11,105,4,121,48,10,37,529,38,21
388585,0,0,0,0,0,0,0,0,102,0,0,0
115110,34,6,50,22,96,219,47,46,11,54,176,15
8764,291,144,422,712,248,347,343,456,427,511,642,251
100996583,110,0,0,0,76,0,0,58,0,149,0,0
127281,6,0,0,40,0,44,65,70,0,44,2,7
79258,4,0,5,0,24,0,20,2,89,0,5,1
100287898,1,0,0,0,0,0,0,0,0,0,1,0
140625,0,1,0,0,0,0,0,0,0,0,0,0
440556,0,0,0,0,0,0,0,0,0,2,0,0
63976,0,0,0,0,3,1,0,0,0,0,1,0
100422968,0,0,0,0,0,0,0,0,0,0,0,0
27237,2,0,1,0,0,0,0,0,0,0,1,1
1953,81,73,119,47,105,118,252,74,12,458,214,185
693135,0,0,0,0,0,0,0,0,0,0,0,0
127262,10,4,128,70,0,306,233,93,761,363,79,77
49856,0,47,212,8,280,111,129,347,212,294,77,49
7161,0,0,0,0,0,0,3,0,0,19,0,0
57212,3,1,0,22,2,0,56,30,1,4,2,7
148870,0,0,0,0,0,0,0,0,0,0,0,4
388588,55,0,23,19,29,0,23,14,0,24,0,0
57470,225,42,95,7,130,212,65,124,115,194,132,50
9731,130,221,270,180,95,544,170,642,548,294,103,11
1677,8,4,0,12,1,0,61,45,63,11,1,8
339448,285,164,448,698,769,778,652,674,365,1013,122,80
100133612,0,0,0,0,0,0,0,0,0,0,0,1
728716,0,0,1,1,0,0,0,0,0,0,1,0
284661,1,1,0,0,0,1,3,0,0,0,0,0
55966,10,0,1,0,0,5,2,0,4,8,2,9
100616489,0,0,0,0,0,0,0,0,0,0,0,0
100616421,0,0,0,0,0,0,0,0,0,0,0,0
261734,0,16,83,137,1,5,108,0,0,133,51,49
8514,112,294,491,228,364,304,385,109,559,727,119,251
26038,0,0,0,3,0,1,2,0,0,0,0,0
6146,4139,2482,2689,4489,3378,3923,4047,3111,3864,5781,3299,2816
102724450,0,0,0,2,0,0,1,0,0,73,7,0
388591,18,107,116,36,27,6,23,16,2,276,111,10
23463,2,29,55,0,43,1,171,356,425,285,117,1
148645,8,1,0,8,0,0,1,0,0,7,1,0
390992,0,0,0,0,0,0,0,0,0,0,0,0
387509,0,1,1,0,0,0,0,0,0,1,0,0
11332,0,129,181,49,82,318,73,291,3,267,154,0
54626,2,0,1,0,0,2,0,1,2,4,0,1
83715,1,2,4,18,30,74,21,5,67,59,0,0
100422975,0,0,0,0,0,0,0,0,0,0,0,0
8718,688,365,736,694,830,1139,1029,399,605,711,503,358
57449,1,0,0,0,0,1,17,36,0,1,2,0
79707,252,253,137,366,206,198,169,202,694,855,296,97
