id,mouse-CD4-R1.hisat,mouse-CD4-R3.hisat,mouse-CD4-R5.hisat,mouse-CD4-R7.hisat,mouse-CD4-R9.hisat,mouse-CbirDN-R10.hisat,mouse-CbirDN-R2.hisat,mouse-CbirDN-R4.hisat,mouse-CbirDN-R6.hisat,mouse-CbirDN-R8.hisat,mouse-DN-R1.hisat,mouse-DN-R3.hisat,mouse-DN-R5.hisat,mouse-DN-R7.hisat,mouse-DN-R9.hisat,mouse-MAIT-R1.hisat,mouse-MAIT-R3.hisat,mouse-MAIT-R5.hisat,mouse-MAIT-R7.hisat,mouse-MAIT-R9.hisat,mouse-NKT-R1.hisat,mouse-NKT-R3.hisat,mouse-NKT-R5.hisat,mouse-NKT-R7.hisat,mouse-NKT-R9.hisat
ENSMUSG00000000001,376,1458,0,597,46,836,771,993,387,782,492,299,1343,839,292,614,956,0,0,0,0,947,1497,1226,0
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,0,0,0,0,0,0,2887,0,0,0,3118,0,0,1706,0,773,0,0,0,0,110,0,0,0,0
ENSMUSG00000000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056,0,3240,0,1002,0,0,0,2,0,3150,15,2109,0,0,0,0,1674,0,0,0,129,0,2677,0,3280
ENSMUSG00000000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000078,27401,24878,46697,45036,43029,25158,20813,16629,40080,23560,21290,24147,17493,33687,26245,11902,14030,22869,15388,35722,19321,12083,24275,35897,18317
ENSMUSG00000000085,2984,0,0,0,0,0,0,0,102,2184,0,0,0,0,4494,1015,0,0,0,0,786,0,16,0,0
ENSMUSG00000000088,2233,902,580,907,0,3004,2152,2948,1375,1217,1336,1514,1026,4452,1088,1357,2048,548,2263,1898,2054,1557,2479,2229,3274
ENSMUSG00000000093,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,389,0,0,0
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000131,0,367,1326,0,0,0,0,0,593,0,0,3151,263,4,2655,1826,1,0,0,2505,1,0,639,0,49
ENSMUSG00000000134,2912,2965,0,0,8,0,0,1467,4,1854,3541,0,1275,2092,0,6183,725,0,10057,0,0,92,115,18,0
ENSMUSG00000000142,8,0,0,0,0,0,2,8,0,1736,0,82,15,1281,1547,65,774,0,0,0,5,0,2549,275,61
ENSMUSG00000000148,5620,0,0,0,0,0,2884,0,0,0,0,5296,0,0,0,0,0,0,0,0,0,1,0,0,24
