baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
WASH7P	609.605975256735	0.624686005119272	0.328208086279536	1.90332301742019	0.0569984092091094	0.405688308497952
LOC729737	38.824915082036	0.00206674047754439	0.906591194634695	0.00227968293733227	0.998181077756253	NA
WASH9P	562.570271046588	0.603327207187015	0.339373818594086	1.77776591513866	0.0754423087237649	0.462748674726808
OR4F29	23.6357472442336	-0.290308115986443	0.903983924881914	-0.32114300707766	0.748102020035435	NA
LOC100288069	498.576493377916	-0.0153063605634727	0.323085213568082	-0.0473756146077768	0.962213863916019	0.997610827108323
LINC00115	100.140495951036	0.408523348099768	0.628432610964816	0.650067073178415	0.515648896990786	0.90600195624838
LINC01128	719.846230939621	-0.315970915073746	0.449808215631049	-0.70245696742213	0.482394229234279	0.88843047532488
FAM41C	66.6736123148994	-0.136035411965822	0.601756716499664	-0.226063803254448	0.821151796672929	NA
HES4	543.655278351238	-0.456787594654292	0.41951844510684	-1.08883792830125	0.276225362648444	0.770519291649164
ISG15	9739.03873219413	-0.122738172407528	0.187231559820695	-0.655542113333187	0.512118781377625	0.904197342656252
TNFRSF18	629.889373004503	-0.13007914190794	0.465241275105638	-0.279595016324389	0.779788231069411	0.970427274860224
TNFRSF4	1368.09412214192	-0.44590538332148	0.327045979441362	-1.36343331320918	0.172745988083904	0.651569717432475
SDF4	224.452962841167	1.2054703956153	0.473081465322943	2.5481243379349	0.0108303862027746	0.160992740870368
B3GALT6	203.955930993363	-0.460230062829073	0.622845734409211	-0.738915011219618	0.459958606500056	0.881726079835968
UBE2J2	244.853218385326	-0.288242925769455	0.554633674474452	-0.51969964867817	0.603272931813017	0.931157722544622
INTS11	118.454788694466	0.44847235597852	0.75322686966003	0.595401430887535	0.551575169288267	0.91721332446619
AURKAIP1	1534.40708324767	-0.307001902259182	0.218135339582223	-1.40739186436805	0.159311222306524	0.633687319658003
CCNL2	1577.14167292601	-0.11070446324315	0.308717128971678	-0.35859514375474	0.719897980226184	0.959922363294045
MRPL20	2490.75054371763	-0.17326230669638	0.233940944684476	-0.740624121741772	0.458921378096439	0.881198627729621
ATAD3B	73.2449097638805	-0.116808133478268	0.812082906344625	-0.143837695099443	0.885628635982347	NA
ATAD3A	35.1342061736636	0.141343448124551	0.89582454808878	0.15778028010742	0.874629938196241	NA
SSU72	2122.38937599174	-0.438758108276387	0.246601857865621	-1.77921655608725	0.0752042650712702	0.462748674726808
MIB2	155.06620385473	1.09492850944531	0.551512394138689	1.98531986059042	0.0471088957587783	0.370297346186901
CDK11B	2249.54611289011	-0.406774119907186	0.330146197668577	-1.23210299794376	0.217910611677212	0.714999427562626
SLC35E2B	500.056727517718	0.380865436177398	0.498361840544078	0.764234749116415	0.444727362122294	0.875036620216914
CDK11A	2210.48754249466	-0.359218777652349	0.312067926514548	-1.15109162823756	0.249694541768382	0.750641935578119
SLC35E2A	457.654550183845	0.49937866076238	0.51895073116068	0.962285301430204	0.335906310334657	0.818965863730698
NADK	69.0588280120718	1.18875685431116	0.626718897513008	1.89679433479423	0.0578550873274467	NA
GNB1	994.023026320697	-0.147781474488318	0.336993524296689	-0.43852912247124	0.661002763860699	0.950461057246484
FAAP20	880.701339362822	-0.125992258987662	0.266670447102514	-0.472464273250451	0.636595436897115	0.94271913477882
SKI	275.582717413514	0.862593455212825	0.557093014786501	1.54838318255239	0.121530067792396	0.572069035780538
RER1	1840.59802865854	0.0383880455297147	0.290809028345344	0.132004311379658	0.89498088160548	0.986126509874225
TNFRSF14	376.441093717453	0.0676120347004128	0.394009724399916	0.17159991369093	0.86375207531146	0.982376000371063
MEGF6	132.019114010093	0.00351308478927387	0.686694785417723	0.00511593340138273	0.995918093530752	0.999812086076547
LRRC47	105.747559388471	0.214740855136129	0.683390017796535	0.314228843769948	0.753347237194006	0.965228464638917
CEP104	246.975253831143	0.0127592793409371	0.647892060012077	0.019693526327054	0.984287855022347	0.998657240468772
C1orf174	446.285200574915	0.180166933762695	0.479630756973786	0.375636739602466	0.70718697348923	0.959550048835866
KCNAB2	303.852297409786	0.369840552600142	0.476216373727232	0.776622923956789	0.437381272642984	0.873698506588559
RPL22	3431.89770211731	-0.162931955668205	0.151911735491647	-1.07254357368041	0.283475953486954	0.779076144630218
TNFRSF25	627.98803932289	0.517965581428146	0.286897620560025	1.80540215153083	0.07101177473646	0.452053168551484
NOL9	271.71616099689	-0.234536562302135	0.464483024571219	-0.504941084808522	0.613600216487844	0.934291598052033
KLHL21	412.0757812019	0.087286231586349	0.422256014617493	0.20671400421713	0.836233219834541	0.979865035494131
DNAJC11	164.450791376973	0.590773552392459	0.81957821325181	0.720826326078715	0.471016375884465	0.88449767602145
CAMTA1	3933.1597184007	-0.35004395552475	0.192642484683736	-1.81706520292978	0.0692071300894949	0.446264850265061
VAMP3	369.312553680322	-0.578600207330401	0.511747384350468	-1.13063637455575	0.258208171039954	0.759652025424144
PER3	130.878841086556	0.487769077232893	0.85918146784633	0.567713685044396	0.570229397586828	0.920230337222243
TNFRSF9	1002.64525510506	-0.463982400181771	0.374859929511387	-1.23774872600161	0.21580924576938	0.713633607372983
