,CD161neg 1,CD161neg 2,CD161neg 3,CD161int 1,CD161int 2,CD161int 3,CD161hi 1,CD161hi 2,CD161hi 3,DP1,DP2,DP3,,,,CD161neg 1,CD161neg 2,CD161neg 3,CD161int 1,CD161int 2,CD161int 3,CD161hi 1,CD161hi 2,CD161hi 3,DP1,DP2,DP3
CCL20,-2.483892071,-2.025410823,-1.581080014,-0.313113644,-0.859463935,-1.091627415,1.155142748,0.146624296,1.671075792,2.164322695,1.80587317,1.411549201,,,,-2.831636961,-2.308968338,-1.802431216,-0.356949554,-0.979788886,-1.244455253,1.316862733,0.167151697,1.905026403,2.467327872,2.058695414,1.609166089
KLRB1,-3.414703785,-3.400227574,-3.724919688,0.004982014,-0.357043896,-0.070588208,1.617368989,1.432164158,2.093549211,1.980909318,1.788856343,2.04965312,,,,-3.892762315,-3.876259434,-4.246408444,0.005679496,-0.407030041,-0.080470557,1.843800647,1.63266714,2.386646101,2.258236623,2.039296231,2.336604557
IFNGR1,-0.914143298,-1.184836935,-0.471561912,-0.929690474,-1.519530929,-0.144429159,0.686171387,-0.234587443,1.020587367,1.436440893,0.706676759,1.548903746,,,,-1.04212336,-1.350714106,-0.53758058,-1.05984714,-1.732265259,-0.164649241,0.782235381,-0.267429685,1.163469598,1.637542618,0.805611505,1.76575027
MSH3,-0.476687341,-0.581530715,-0.459909149,-0.62525783,-0.944877393,-0.560679398,0.064638045,-0.18459622,0.843703106,0.805995201,0.616944744,1.50225695,,,,-0.543423569,-0.662945015,-0.52429643,-0.712793926,-1.077160228,-0.639174514,0.073687371,-0.210439691,0.961821541,0.918834529,0.703317008,1.712572923
PELO,-0.774374077,-1.15820405,-0.34296311,-0.658508496,-0.74335756,-0.648866915,0.336368488,0.374666277,0.577420394,1.184225505,0.501817462,1.351776081,,,,-0.882786448,-1.320352617,-0.390977945,-0.750699685,-0.847427618,-0.739708283,0.383460076,0.427119556,0.658259249,1.350017076,0.572071907,1.541024732
ANKRD28,-1.833846499,-0.486661424,-1.12571719,-1.254074102,-0.051180188,-0.645902116,0.542502802,0.559162975,0.961400216,1.272961809,0.926596028,1.134757687,,,,-2.090585009,-0.554794023,-1.283317597,-1.429644476,-0.058345414,-0.736328412,0.618453194,0.637445792,1.095996246,1.451176462,1.056319472,1.293623763
GPR65,-1.31959299,-0.991798787,-0.36208607,-0.949781987,-0.133860844,-0.699690064,-0.104409131,0.100887108,1.167090571,1.00063905,1.281445701,1.011157443,,,,-1.504336009,-1.130650617,-0.41277812,-1.082751465,-0.152601362,-0.797646673,-0.119026409,0.115011303,1.330483251,1.140728517,1.460848099,1.152719485
IL2RB,0.038484393,0.21815778,0.056696549,-0.109455583,-0.050472224,0.217826235,-0.458510575,0.034838319,-0.220598102,0.232611861,-0.059322897,0.099744245,,,,0.043872208,0.248699869,0.064634066,-0.124779365,-0.057538335,0.248321908,-0.522702056,0.039715684,-0.251481836,0.265177522,-0.067628103,0.113708439
HK2,-0.15183357,-0.155534957,0.506379685,-0.243489588,0.157042064,-0.048170266,-0.396385565,-0.122785351,0.210680533,0.710668725,-0.189929374,-0.276642335,,,,-0.17309027,-0.177309851,0.577272841,-0.27757813,0.179027953,-0.054914103,-0.451879544,-0.1399753,0.240175808,0.810162347,-0.216519486,-0.315372262
POLR2I,0.52280928,-0.02903009,-0.312259815,0.507032664,0.150582584,0.229908058,-0.407171737,-0.720482393,0.036082955,0.272316287,-0.299964314,0.050176522,,,,0.596002579,-0.033094303,-0.355976189,0.578017237,0.171664146,0.262095186,-0.46417578,-0.821349928,0.041134569,0.310440567,-0.341959318,0.057201235
GTF2B,-0.079723838,0.085784493,-0.108868354,0.098155813,0.298674359,-0.201446218,-0.557489887,-0.477256734,0.521004108,0.364982643,0.070920194,-0.014736578,,,,-0.090885175,0.097794322,-0.124109924,0.111897627,0.340488769,-0.229648689,-0.635538471,-0.544072677,0.593944683,0.416080213,0.080849021,-0.016799699
KRTCAP2,-0.14017814,0.011575004,-0.273249206,0.456122158,-0.200643729,-0.170857636,-0.186225942,-0.397543255,0.309039394,0.240951139,-0.014759801,0.365770015,,,,-0.15980308,0.013195505,-0.311504095,0.51997926,-0.228733851,-0.194777705,-0.212297574,-0.453199311,0.352304909,0.274684298,-0.016826173,0.416977817
GOLT1B,-0.018734731,0.090150921,0.145074984,0.145073406,-0.114338214,0.095507607,-0.172606287,-0.455120046,0.24562682,-0.026842357,-0.24417284,0.310380737,,,,-0.021357593,0.10277205,0.165385482,0.165383683,-0.130345564,0.108878672,-0.196771167,-0.518836852,0.280014575,-0.030600287,-0.278357038,0.35383404
SCPEP1,0.538805464,-0.428539541,-0.0755363,0.03898045,-0.188900731,-0.049454858,-0.248342385,0.390462505,0.061915882,-0.595465984,0.804316746,-0.248241248,,,,0.614238229,-0.488535077,-0.086111382,0.044437713,-0.215346833,-0.056378538,-0.283110319,0.445127256,0.070584105,-0.678831222,0.91692109,-0.282995023
PSAP,0.069217903,0.67341543,-0.326594782,0.114808464,0.247695623,-0.045711406,0.141501009,-0.047331268,0.153580191,-0.476245831,-0.026995077,-0.477340256,,,,0.078908409,0.76769359,-0.372318051,0.130881649,0.28237301,-0.052111003,0.16131115,-0.053957646,0.175081418,-0.542920247,-0.030774388,-0.544167892
CYP2R1,-0.609919681,-0.413769055,-0.357125244,0.192389371,-0.12586434,0.375285176,0.350513117,0.166826479,0.209030496,0.063345386,0.092348905,0.056939392,,,,-0.695308436,-0.471696723,-0.407122778,0.219323883,-0.143485348,0.427825101,0.399584953,0.190182186,0.238294765,0.07221374,0.105277752,0.064910907
PIGS,-0.029021328,-0.453885924,-0.082590201,-0.105068017,0.340189844,-0.26280954,0.566899732,-0.276187353,0.16748692,-0.029282324,0.369444185,-0.205175992,,,,-0.033084314,-0.517429953,-0.094152829,-0.119777539,0.387816422,-0.299602876,0.646265694,-0.314853582,0.190935089,-0.033381849,0.421166371,-0.233900631
