baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	614.948707010949	0.553787288056211	1.4651826536352	0.377964676746776	0.705456834758603	0.999114747917564
Klf6	25132.44520959	-0.622920844027571	0.334765863520397	-1.86076572287549	0.0627772680083051	0.722530820472946
Cox5a	1723.04757590573	1.1124865341294	0.913638954630113	1.21764349964674	0.223359476448739	0.999114747917564
Sdhd	2556.84526245765	-0.371683804710278	1.09410318149575	-0.339715495756211	0.734070791128852	0.999114747917564
Ccnd2	12261.6002341009	0.645848896676073	0.788486928437377	0.819099053367969	0.412729901962828	0.999114747917564
Tspan32	3387.33346418033	-1.19897520344591	1.75832324015253	-0.681885546449301	0.495311325414011	0.999114747917564
Scpep1	1236.1263291654	10.3333246474522	1.91097392287972	5.40736036412285	6.39603724044672e-08	9.28948265874404e-06
Itgb2	20432.0391745592	-0.150940339196689	0.498362241425987	-0.302872743257588	0.761986844050599	0.999114747917564
Comt	1905.18713450987	1.01324140909996	2.27416839019178	0.445543704445964	0.655926883276843	0.999114747917564
Dazap2	9602.89967122061	-0.51947764801056	0.344052873208927	-1.50987737194424	0.131074717573291	0.953391608898616
Mcts1	112.421318272836	-1.31451955442541	1.24762674373421	-1.05361604424332	0.292058740572713	0.999114747917564
Ccm2	4873.99934214695	-1.60931857353207	2.09907636451303	-0.766679383722859	0.443272164156225	0.999114747917564
Tbrg4	2492.51122530169	1.16939484544514	2.14279492832248	0.545733439065312	0.585249182615307	0.999114747917564
Ndufa9	1310.6090564074	-0.10483458526029	1.78717558310689	-0.0586593652303836	0.953223425423851	0.999114747917564
Lck	32049.4231726248	-0.65096321203534	0.368284941796421	-1.76755315832374	0.0771356347333936	0.771859162859661
Raf1	1939.03107560903	1.46079603291041	1.19687081463842	1.2205127028281	0.222270577050519	0.999114747917564
Sept1	8196.59025809443	-0.62825184415885	0.245904606496294	-2.55486000490324	0.0106230513718278	0.259202453472599
Atp5pb	1746.22778822067	-0.159119028228414	0.474228879074323	-0.335532134902894	0.737223708066545	0.999114747917564
Dynlt1b	67.3479232937665	0.469955437159235	1.75462777624134	0.267837682454763	0.788824263649126	0.999114747917564
Gm2a	9895.19930176225	0.804367192190887	0.474654585339007	1.69463693607088	0.0901443157244282	0.805060411433899
Clcn4	1533.85390539718	0.989492454252304	1.57752645811906	0.62724301653369	0.530499949778565	0.999114747917564
Hk2	4774.4143039405	7.5663425349847	0.98623069234311	7.67198039335848	1.69360845634511e-14	3.97346599373277e-12
Cd52	9962.4262027832	0.0343211627097269	0.280167356828435	0.122502361082501	0.902501176203793	0.999114747917564
Rpl13	25341.0143083282	-0.578944157963264	0.252866739316106	-2.28952277206981	0.0220489963491113	0.444957238365251
Chmp1a	4844.41829461673	-0.699851718731316	1.39733594608161	-0.500847144663982	0.61647870331014	0.999114747917564
Rpa1	1929.42763702357	-1.04537588380885	1.80272931399527	-0.579885108481455	0.561992098610015	0.999114747917564
Tcf7	2908.30000028318	-0.466097666338477	1.09772233538915	-0.424604338740399	0.671125129609385	0.999114747917564
Ddx3x	952.861352686441	0.823283334726974	1.05081181235248	0.783473620156466	0.433349038862104	0.999114747917564
Il12rb1	6749.95630463398	0.784633518080563	1.31817943261283	0.595240297844204	0.551682857008642	0.999114747917564
Dnajc5	1538.01877486611	-0.84674148961529	1.96287449076191	-0.431378314609723	0.666193315026335	0.999114747917564
Tpd52l2	1526.86070680553	-0.323233518830248	1.58276168024762	-0.204221218433643	0.838180630844789	0.999114747917564
Hip1r	2042.20937075737	-1.45159443773724	1.67037484513327	-0.869023166845782	0.38483445946095	0.999114747917564
Chtop	1596.53927622261	1.55080259874593	1.44459450541989	1.07352104201391	0.28303740280629	0.999114747917564
S100a4	11419.1927949146	1.47407633582222	0.269595912147929	5.46772510042135	4.5584811892416e-08	6.95168381359344e-06
S100a6	10946.2903004086	1.51281207464038	0.465697368319722	3.24848748898612	0.00116020310820512	0.0620810435092213
Rmnd5b	3066.16063726256	-0.31357104317337	2.18957408129472	-0.14321097689828	0.886123560872251	0.999114747917564
Nhp2	1343.79805393645	0.213075806024121	1.82369032520796	0.116837712564946	0.906988658095936	0.999114747917564
Kctd10	3197.23728690674	-0.0831749411399914	1.33309894141806	-0.0623921740208684	0.950250527046071	0.999114747917564
Ift20	555.586915376676	-0.388367746169441	1.73452191856689	-0.223904778609152	0.822831397334964	0.999114747917564
