baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	614.948707010949	0.785810884743008	1.46521575046454	0.536310699972935	0.591743836838519	0.999273910133604
Klf6	25132.44520959	-0.178433116321691	0.334765884684993	-0.533008662126944	0.594027584129769	0.999273910133604
Cox5a	1723.04757590573	1.36490046520699	0.913654773645341	1.49389080490572	0.135204162180472	0.999273910133604
Sdhd	2556.84526245765	-1.00968371539642	1.09416835758821	-0.92278643263089	0.356118512550362	0.999273910133604
Ccnd2	12261.6002341009	0.670324134497288	0.788493475431153	0.850132759983526	0.39525127987225	0.999273910133604
Tspan32	3387.33346418033	-1.3777082189834	1.75835496191174	-0.783521102863961	0.433321166372084	0.999273910133604
Scpep1	1236.1263291654	10.7366741089271	1.91098350878488	5.6184022832066	1.92731344601442e-08	3.0938452686021e-06
Itgb2	20432.0391745592	-0.358396446575088	0.498372287625286	-0.719133979705865	0.47205837264238	0.999273910133604
Comt	1905.18713450987	1.13965705928575	2.27419143910779	0.501126263905406	0.616282263930113	0.999273910133604
Dazap2	9602.89967122061	-0.0260729117668523	0.344050589038694	-0.0757822035407706	0.939592374922075	0.999273910133604
Mcts1	112.421318272836	0.161366091883881	1.24626808429759	0.129479438587107	0.896978293619434	0.999273910133604
Ccm2	4873.99934214695	-1.00835257058844	2.09908526366802	-0.480377137623466	0.630959247924429	0.999273910133604
Tbrg4	2492.51122530169	1.44202267820067	2.14281059688101	0.672958534132518	0.500973671517384	0.999273910133604
Ndufa9	1310.6090564074	0.154637731834688	1.78719569400624	0.0865253493802049	0.931048805742189	0.999273910133604
Lck	32049.4231726248	-0.410083869837386	0.368287847178465	-1.11348737944825	0.265499165644923	0.999273910133604
Raf1	1939.03107560903	1.28803804609828	1.19690762172988	1.07613822713962	0.281865441493907	0.999273910133604
Sept1	8196.59025809443	0.0745442611157134	0.245883846882253	0.30316859794133	0.761761378747381	0.999273910133604
Atp5pb	1746.22778822067	-0.579351728953985	0.47437353815399	-1.22129858087893	0.221972990533684	0.999273910133604
Dynlt1b	67.3479232937665	1.56957105603224	1.75398597428463	0.894859525129548	0.370862185503279	0.999273910133604
Gm2a	9895.19930176225	-0.0511416580428612	0.474691291217441	-0.10773666799679	0.914204581931451	0.999273910133604
Clcn4	1533.85390539718	1.94251942199186	1.57749892185255	1.23139191734638	0.218176318502317	0.999273910133604
Hk2	4774.4143039405	6.90405778542295	0.98625780287825	7.00025669279823	2.55493966469864e-12	5.99428152102374e-10
Cd52	9962.4262027832	0.149499031854097	0.28018368924344	0.533575070903586	0.593635559539506	0.999273910133604
Rpl13	25341.0143083282	-0.492400639102611	0.252875513010039	-1.94720569517169	0.0515100791895908	0.717377815197497
Chmp1a	4844.41829461673	-0.121565615497186	1.3973363305918	-0.0869981069236928	0.930673016859534	0.999273910133604
Rpa1	1929.42763702357	0.366490051796346	1.80269857792625	0.203300793756625	0.83889993515473	0.999273910133604
Tcf7	2908.30000028318	-0.491891134422929	1.09774649810344	-0.448091736364235	0.654086991675384	0.999273910133604
Ddx3x	952.861352686441	0.305816146846512	1.05093145148195	0.290995332202942	0.771054889472874	0.999273910133604
Il12rb1	6749.95630463398	0.293149181622633	1.31819818629534	0.222386272921903	0.824013196914364	0.999273910133604
Dnajc5	1538.01877486611	-0.199197895463203	1.96287088038848	-0.101482933723985	0.919167104527664	0.999273910133604
Tpd52l2	1526.86070680553	-0.017840566487388	1.58277420031208	-0.0112717066552325	0.991006669722118	0.999273910133604
Hip1r	2042.20937075737	-0.298248702682728	1.67033838533987	-0.178555857483957	0.858286457979888	0.999273910133604
Chtop	1596.53927622261	1.80885840912892	1.44460668975496	1.2521459452993	0.210516688494616	0.999273910133604
S100a4	11419.1927949146	0.973392280323068	0.269633054326589	3.61006287880439	0.000306122786935466	0.0274610147103874
S100a6	10946.2903004086	1.24631995363023	0.465715143485689	2.67614221066988	0.00744750366640218	0.284909348348508
Rmnd5b	3066.16063726256	-1.86900084722809	2.18964883546035	-0.853561912284967	0.393347769665185	0.999273910133604
Nhp2	1343.79805393645	0.116161875454598	1.82372491487351	0.0636948448240367	0.949213209647964	0.999273910133604
Kctd10	3197.23728690674	-0.653163803731634	1.33314320328873	-0.489942717421764	0.624174433973224	0.999273910133604
Ift20	555.586915376676	0.30190795267424	1.73449697781507	0.174060812175384	0.861817670368388	0.999273910133604
Lgals9	4674.29729662504	-0.00149002316855873	1.78925707366189	-0.000832760809216335	0.999335553084283	0.999335553084283
Araf	2448.3563091923	-0.214140443887225	1.90085563226258	-0.112654764650556	0.910304265443928	0.999273910133604
Pcnt	1230.76696413111	0.363026528166086	2.04480681784977	0.17753585570877	0.85908750375149	0.999273910133604
Mxd1	12787.130432882	-0.225216637444741	0.454325998554682	-0.495715935608369	0.620094842341871	0.999273910133604
Snrnp27	220.736053791573	0.161141253326452	1.26533222549783	0.12735094394917	0.898662641068365	0.999273910133604
Calm1	15431.8644489709	0.595188612665415	0.249348268938323	2.38697711919001	0.0169875485044843	0.427612093502428
Gramd1a	7542.7580566443	0.62536808197182	1.28884618470042	0.485215450373687	0.627523523415032	0.999273910133604
Ckb	31805.5519441464	2.66683738928927	0.930231303017707	2.8668540616059	0.00414574137666704	0.203943729013459
Itgb7	74317.590015528	0.504043588313595	0.274653648913227	1.83519713030588	0.0664764861999559	0.793493221803935
Pfdn5	3294.34377329707	-0.324166449838856	0.571711432835987	-0.567010612733108	0.570706971278881	0.999273910133604
Acp5	4244.54565679854	-1.25310660697757	1.27426573145735	-0.983395045509399	0.325413047784615	0.999273910133604
Hars	1925.25164585264	0.507325818077592	1.98645765902078	0.255392213256474	0.798420184355332	0.999273910133604
Zmat2	639.215470359179	-0.181276699678728	1.61970421511462	-0.111919631984103	0.910887130327661	0.999273910133604
Cct3	4037.75286144993	-0.669111929110597	0.927861481675852	-0.721133425974408	0.470827427148036	0.999273910133604
Glmp	5171.51761156355	0.675107935734261	1.29557832922863	0.521086159364992	0.602306752178033	0.999273910133604
