"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81"
"2310039H08Rik",0.0238420786884654,0.0337366843284919,0.0107689615611614,-0.0600825558861418,0.0421063189509193,-0.0203611112511871,0.00942445797192632,-0.0194475747739261,0.022055363499309,-0.00197470861381762,0.0124521321408534,-0.0343824702624292,0.00497167701032209,-0.00456810793776892,-0.0241107350086697,-0.0225919832019961,-0.0343875731137608,0.0862883666407091,0.0397375849429989,0.0293165536302859,0.0069000566689789,-0.0131384314425303,0.00221401469934703,0.0111675062712556,-0.0302954927145771,-0.0364203576466891,-0.00180829655347657,-0.0392852371487358,0.0196770223853565,0.0757980538535259,-0.0602858039541882,-0.00208773720035589,0.0176225865898676,0.0750265706860444,-0.0200727924076557,0.0385608353212876,0.0139356204623314,-0.0161614446520315,-0.0116602939444373,0.0372869529701491,-0.0497529641840574,-0.0302860882120731,0.00927002011787587,0.0980737730637425,0.0735147520986814,-0.0142898937396984,-0.023806573172666,0.0677951545779518,-0.0241750663019017,-0.0347460063876426,-0.0237642527788594,-0.0460478162203089,0.0445009445239132,-0.00555405163307505,-0.0451507261127988,-0.103717456721134,0.0530209136436142,0.0906996497339053,0.0199238016887004,-0.0148800340456296,0.0672231905606149,0.017256500438385,0.0208114009367461,-0.0868353443112484,-0.0504539396984439,-0.0165850187645171,0.0536567811144266,-0.0135933663495293,0.0663012035241595,-0.0374256412871966,0.0105790146027132,0.0607959727181378,-0.0783391568267693,-0.00654828805453786,0.0657654416271861,0.0371908393717138,0.049971277304444,-0.073718522970613,0.0922165071317022,0.0537284771220611,-0.176213625297117
"2610507B11Rik",-0.0354897534944649,-0.0392230549901995,-0.0328362446340837,0.0272655156836537,-0.0280097953701587,0.0417583100264094,-0.0111285204537612,0.00528714603738927,-0.00904663153418684,0.00514995581115099,-0.0429187098355801,-0.0498060102061932,0.0111547970934129,-0.00537976787722966,0.0805993847318892,-0.0625622458227678,-0.00758810075875488,-0.0281733191691016,0.0217239963661517,-0.00181430673013765,-0.032945878807476,-0.013325379996393,0.0264171097628583,-0.0101513688672783,0.00540979129323291,-0.0716712986777313,0.00273908747868398,0.00540682635165135,-0.0321351905615411,0.00712836324936999,-0.0189814460197921,0.0241692332171988,0.00503961962851847,0.0201947584223073,-0.0216104828213612,-0.0672856160518028,0.0487609647449985,-0.00847877799529656,0.0479441506933099,0.00150156571092138,0.0258134301505526,0.0480401215459261,-0.0728820833176758,-0.0136343944402284,-0.0213272445934997,-0.00321775524516382,-0.0492594806885727,0.00956885747252698,0.00293896242305196,-0.00873253980008783,-0.0106358937185175,0.0165759285956859,-0.0655161404964464,-0.00300108132790461,0.0141675263197832,0.00747283449469548,0.000327018673416663,0.0229993034988206,0.0604460094953998,-0.0122434607013859,-0.000295475625331782,-0.0527009066506132,-0.0324600918236458,-0.0538937658746935,0.0123854205658285,-0.00495115439586469,0.0213793279173305,0.0592126728128527,-0.104771959558867,0.078856606988525,-0.017991888710924,0.0131775118239841,-0.0409229423397503,0.00539925200244849,0.0306185616059186,-0.0340308061944652,-0.0301759954569912,-0.0163895882199121,0.0194489100780525,0.00542967392957918,-0.0355573977990871
"4833439L19Rik",0.0208154464047001,-0.0182205410420096,-0.0184360907330261,0.041511365107322,-0.0079095215880798,0.0526295483769679,0.00153071132082616,0.0191481824952649,0.0367954035994894,0.0353297233948446,-0.00632524835360533,-0.0413535593875938,-0.0461249050348381,0.0361290950737203,0.0169905162436172,0.0354690407265434,0.0246470025574167,-0.0803357806826294,0.00683666182543878,-0.0142991302642168,0.0206991506688219,-0.0262824515263882,0.0178104311188898,-0.0371393791509664,0.0013962552271315,-0.0418921286330435,0.0405749502098874,-0.0740598682544223,-0.0643100292840272,0.0397904843453539,-0.0471880578310958,-0.0107041105714098,-0.0292030125607405,-0.0598964682354748,-0.057523202858758,-0.00708369786144141,-0.0527061826167296,0.0396729215322917,0.0451382956765912,-0.0103175883973291,0.0558862450751149,0.109321783613188,-0.0180425100176362,0.0398243844153579,0.00251370176799815,-0.045741468426341,-0.0747542730913125,-0.0305982910885861,0.0303738462952523,0.0413294945218494,0.06959566704896,0.0151533658594321,0.00214799016843624,-0.00478868165354869,-0.0255864717914372,0.0930704236428978,0.0865763987521464,0.0342710608992572,-0.00239284072702367,0.0644651942852944,0.0329958241971114,-0.0785635216094353,0.0417500542104135,0.139674795691364,0.0149586887117836,-0.0181308203792791,0.026448561227691,-0.00250513973161837,-0.029581965757769,0.0656702595462345,0.0382056878580541,-0.0245242126782224,0.036211468591009,0.022880922591731,-0.0540381058548581,0.135111469296895,-0.0631610621773249,-0.053634530894335,-0.00311428972874862,0.101642631706351,-0.113830065282788
"4930523C07Rik",-0.0427054612530569,0.0272282091150596,0.0132426267740659,-0.0549853100824524,-0.0321280417476667,-0.0351598669715774,0.0298673296212367,-0.00115409605073885,0.058728321229649,0.00101191232503274,0.0252664158983912,0.0476418792118201,-0.00240025921114065,-0.045909241941231,-0.0101823593406546,-0.0458194468890838,-0.0480094373985594,0.00678759417660868,-0.0294158731507835,0.0298265134003807,0.0152797353348024,0.0527776888005646,-0.0396184750954583,0.0119141280749596,0.0109581835075994,0.00526726645630939,0.0415483111384734,-0.0339339620223824,-0.0351718101493942,-0.00662829130492397,0.0538094318907443,-0.0637660788479974,0.0227842239785246,-0.0220783040285163,-0.0382500590104595,-0.00143684945341768,0.00300745353320693,0.00339413971452365,-0.0168054548858622,-0.0362021146856791,0.0114791150337174,0.0272576717765095,-0.00693256459208764,0.027994258970995,-0.00573726588507215,0.00269674126746809,0.00965713049317181,0.00602549894064164,-0.0322218646728154,0.0070333472027151,0.0279606800584148,-0.0240101451948452,0.0186329826411186,0.0399966786965644,0.00792193471694241,0.0223886887488486,0.0354490617976709,0.00975160703400967,-0.0140357563139705,0.0117927149467421,0.00365324913267514,-0.021960248189626,0.000318093227908567,0.0381108974706684,-0.0176335780705198,0.00270831590144479,0.00635196844040469,-0.00109291661271097,0.0113779643719419,-0.00336906813098113,-0.00750760582256855,-0.0543014701681168,0.053404693052693,0.0241537575240022,-0.0122518270100605,0.0382491314975385,0.0392639416951707,-0.0361497730881943,-0.0247649922462134,-0.0125611632100195,0.0548954529716647
"Aagab",0.0245383622169926,0.0178157484249159,-0.0256584035172737,0.0593697011643562,-0.0564942632906542,0.0302022316277142,-0.0393778607173938,0.00337262078040047,-0.0327251932635679,0.00257974720681349,0.0376305263244243,-0.00848071012422049,0.00715617765940458,0.0390328613306438,-0.0249839106325611,-0.000805373702761667,0.0284718188513191,-0.0307891429044856,-0.0184545943978333,0.0157082044841082,-0.00288984123424036,0.0135058251693333,-0.0354784234369727,0.0493568331408171,0.000515813380881649,0.0405562921982963,-0.0649477397377276,0.0298150971260043,-0.016096359759312,0.0134748998314726,-0.0536734157699039,-0.049954625532883,-0.0554234714427703,0.0318293308367116,0.0569276993973692,-0.0711705633392502,-0.0721979354786199,0.0194023258901555,-0.0618764840467598,0.00160247156282533,-0.0129378917559664,0.00986998920782946,-0.0700444231217417,0.0360218314278955,-0.067275796452432,0.0176351423289342,0.0035739990168602,0.0419097358757215,-0.0212268935780398,-0.00681750924254949,-0.0491939202926713,0.0147044865212119,-0.0379891690000275,-0.000759427474025215,0.000821200864581015,0.0729218812732459,0.0371559231941616,-0.0189492216497308,0.00602379077079371,0.0775193689707179,-0.0546020146512313,0.0639625624649194,0.0182005170906738,0.011663528370184,0.0106075174976338,-0.0172505950322527,-0.0605919452803122,0.0413944519501621,0.0255161025948202,0.00934323039145112,0.0100288894683133,-0.0576841497061422,0.0321794327989541,0.0493316584397645,0.0779174453918409,0.00827350027240511,0.0418077902361117,-0.0866067149712694,0.00422158874185847,0.0069788227527741,-0.0935554862166201
"Aak1",-0.0377038895380631,0.0461350810870843,-0.00903011062497726,0.0343644086728051,-0.0231133999862023,-0.0217441170236366,-0.0456149768033617,0.0155926461377075,-0.0259315733484775,-0.0101494289289515,0.036408833293851,0.0312875739091692,0.00518188185292729,0.0342960342810539,0.0284242016709054,-0.0227416579242996,0.0847674352376663,0.0540928916225803,0.0357671798956567,0.0119314732726771,0.0431533056238839,-0.0349327044474381,-0.0693011009081081,0.0121419051496996,-0.000734155731882673,-0.0447608374926462,-0.00137629173379895,-0.0192668892133011,-0.0235300541977287,-0.0174082108911916,0.0371275044136695,0.00970428614871158,0.0262590590709429,-0.02147822564729,0.0178520465699803,-0.0325633978004977,-0.0224948183920794,-0.00622107475693562,0.00350044722274491,0.0408192628559372,0.0239772676363808,0.0119878152001729,0.01645213940989,-0.00228667690133462,0.00911889418933298,-0.0195211739204161,0.0142948127526808,0.032658198140565,-0.00385993222778345,-0.00365950932926051,-0.0205111457996805,0.0261612716540141,-0.000177475842536927,-1.15436395285758e-06,0.0231191915499137,-0.00368950159017347,-0.054533341336824,-0.0124025907046091,-0.0297456459006951,0.00736342618104047,0.0104948187937789,-0.00418034296070995,0.0307098686864558,-0.00848245682249469,0.00826062975486397,-0.00574236445503484,0.0280142952842805,0.0203329019426498,-0.00220700614028456,-0.00238362544430286,-0.0241896505711568,-0.0599794697634388,-0.000220431819415313,0.0128825089330985,-0.0112475161298033,-0.00125924166142648,-0.0120249662552929,-0.0110969103621903,-0.0209787886611667,0.0396724768030998,-0.0106755294812973
"Abca7",-0.0168340064061212,0.01730180984926,-0.00650876903199467,-0.0557785283595449,-0.0322460275394645,0.0125748204967933,0.04169173439928,0.0382876863827128,0.0355968089673317,-0.0346237013522472,0.0274458045747216,-0.0134822721646163,-0.104664347343806,-0.017127234197608,0.0282797022579652,0.0414072378336932,0.0194888278203528,-0.104268706797357,-0.00644302968786319,0.0548894373654688,-0.021622599966077,0.000676869617034378,0.0112067125546342,-0.0435577610725874,0.0411942627217314,-0.0121676008104636,-0.0282649650256503,-0.000530666784473537,0.0529263221378003,0.0386795756691153,0.0126623920923426,-0.0264940309341989,0.0338705174441467,0.0571198866603985,0.0259182698229366,-0.00746431300362753,0.0112171462696458,0.0457908898515498,0.056690888116938,0.0208186712160849,0.0312984830275257,-0.0498725908165859,0.0226568004130978,-0.0297124949218226,-0.0163275362303144,0.0137021294787964,0.01667627040359,-0.0301746590097402,-0.0255472046028144,0.0267720694394273,-0.043250820068008,-0.0497518956265633,-0.0082314792749637,0.0261230251014271,0.00842148942779918,0.0414846896434401,0.0406552641568889,-0.00197525324801922,-0.00260035497716416,0.0113472719217341,0.0238805877240399,0.00862608673651664,0.029392401342194,0.0422628315380163,-0.0112409153851663,-0.035584383210318,-0.00608547012109756,0.046157363127458,0.0251868958049837,0.0165209493051593,0.016834455899286,-0.0132251866190548,-0.0546934642576708,-0.048933145772382,0.0163056337713893,-0.0238604244935026,-0.0382487019413287,-0.0123199483515304,0.048729479507803,-0.0204675742616699,-0.0320882991797208
"Abcb1a",0.0209504006997849,0.0515759330426671,-0.0511440961107707,-0.0446587603751742,0.00965648746160584,-0.0375430642759903,-0.0844544390772471,-0.0149933810590929,0.00392925027078399,-0.00127521536845112,-0.0381221930150095,0.0150106629475391,0.0182741672740465,0.0172491871517901,0.0141027012997034,-0.00253741727527216,0.0114934031317406,-0.00425857095403687,0.0147659435646429,0.0309915716342231,-0.00437573957854715,0.0152348244392032,-0.0338819308633,-0.0580994197104678,0.0123609577283659,-0.0333796330697164,0.0289709728836907,0.0110298708566748,-0.0202345760868585,0.0168600271693013,0.045629830799294,-0.0117172874526014,0.0114221990928868,-0.017137180415355,0.0089203343691969,0.0310397441813857,0.000358065418605844,-0.0359365628929241,-0.00453568221751786,-0.0143216890856428,0.0311229874332896,-0.031674231840563,-0.0422019154649098,0.0315024261497245,0.011226167254673,0.029200611989243,-0.0155856561885453,0.0252876253223431,-0.00639176826108204,-0.017834528464017,0.0353177962435353,-0.0276199269013138,0.014494172253652,0.0073720273328185,0.000283350054890352,0.011588402775936,0.0411901724005337,-0.0143229089737289,-0.0166732867768824,0.0380940719303986,-0.0065005724063801,-0.0232848033604746,-0.00574441192007752,0.0208159551405747,0.0110627842201068,-0.0255263487385945,0.00925455573397481,-0.011284764670513,0.0144964828812019,-0.0183601974935921,-0.0354619887656917,-0.0202838499196792,-0.00735730174861284,0.00591083900508861,-0.0540642728689279,0.0230162128865083,0.0629135552596494,-0.0409411121427086,0.0419815472243963,-0.0339290958558552,-0.0334039479665881
"Abcf3",-0.0127568789253772,0.0294130330634361,0.0670828043923707,-0.0139957979217232,-0.0282375418866922,-0.01770084547616,0.0137222074858291,-0.0226417307559326,-0.0615987243386703,-0.0074906691818538,0.0471488792451799,0.0225043347915387,-0.0203038998877063,0.000530728451758747,-0.028590250918007,0.00864985749629884,0.0204077481009833,0.0857078635885251,0.0441184709757333,0.0128673134134052,0.0123578120260492,0.0247140620584801,0.0295971295137925,-0.0427884373355571,0.000139213401904214,-0.00799585852267086,0.0379019222408891,0.0538628182211611,0.0454735393044131,-0.0615028275529128,-0.0413558103801368,-0.0294240789984437,0.0300202211281986,-0.0322475575420206,-0.00295116750138515,0.0283589147529399,-0.00253840189098498,-0.0272389938040329,-0.0355241464349478,0.0162505069088495,0.0314150135734623,-0.0564666066103468,-0.0383136587152693,-0.00842871998551866,0.0512525736790293,0.0192936210906974,0.0256368793678363,0.0464697659386441,0.0809737445144466,0.0307554827231245,-0.0134103422324194,0.0205622795008926,0.0631231341379768,0.0564783662814598,0.0562081421223963,0.15686353963744,0.0828020839156254,-0.0391207220044791,0.0366445508479177,-0.011379735077541,-0.00311555736957396,0.0124999140348652,-0.00818892456688728,-0.0178247065830993,-0.0106828288722717,-0.0223614332029205,0.000856081057377177,0.0851765243322871,0.0319192702843278,-0.0571820042209028,-0.0406679461770623,0.0540383822009847,-0.0397705579692333,-0.00387570224559507,-0.0233740864793426,-0.00570474064595958,-0.0205459257254648,-0.021542021796885,-0.0253803056922356,-0.0498603413287328,-0.0145008489692396
"Abcg1",-0.0375031757187671,-0.0154332418127363,0.0177873354935943,0.0216006577673304,-0.0455138102983053,-0.00359413388344621,0.0368193300949406,-0.0600526195024428,-0.0154181921337378,0.020291536611502,0.0524085498550777,0.0287602514516677,-0.00715282145345721,0.0448899876843989,-0.0181245798704463,0.0787435590222601,0.0192982370376566,-0.0603472059535619,-0.000626884711492175,-0.0340041844154704,0.0317384218712638,0.0298682500475287,0.0197035655694837,0.0464821446275938,-0.0389767693633691,0.0275044458937746,-0.0253481730991262,0.0285850850566515,0.0518543025585196,-0.00415134665518545,0.0401966906183984,-0.0375061979273595,0.00392200059976474,0.00496532104334926,-0.00311962345009419,-0.0305831449058299,0.0667662781146595,0.0318834779901649,0.02337241782773,-0.0356373227912132,-0.0932423472588777,0.0291475440085592,0.0606902900568439,0.0282399734058506,0.0500366966406636,-0.0130872766331657,-0.000757573743252733,0.00991008665997842,0.0439209270194491,0.044925524521379,0.0433210270524639,-0.00486328062995889,-0.0274789931925469,0.0313167677443818,0.031613430585409,0.00754519247027178,0.0220529306296683,0.00485818670324505,-0.0128730894395665,-0.00585709225528495,0.0219455259872339,-0.00528545339433672,-0.0226836460283307,-0.0238282715834923,0.0268653062208369,0.0161704976390004,-0.0148867863509355,0.0209741987099489,0.0284452516965614,-0.0299091570170092,0.000195237961064461,-0.000800510205372356,0.0171991711300255,-0.0205379353561908,0.00371338195242,0.00763634341340797,-0.00154818988374048,0.0212514449591103,-0.0249478792329889,0.00172253900278976,0.0561772481681552
