sample,species,Source,Batch,population
B.Fem.Sp.1,mouse,Immgen,1,Immgen
B.Fo.Sp.1,mouse,Immgen,1,Immgen
B.Fo.Sp.2,mouse,Immgen,1,Immgen
B.Fo.Sp.3,mouse,Immgen,1,Immgen
B.Fo.Sp.4,mouse,Immgen,1,Immgen
B.FrE.BM.1,mouse,Immgen,1,Immgen
B.FrE.BM.2,mouse,Immgen,1,Immgen
B.GC.CB.Sp.1,mouse,Immgen,1,Immgen
B.GC.CB.Sp.2,mouse,Immgen,1,Immgen
B.GC.CB.Sp.3,mouse,Immgen,1,Immgen
B.GC.CC.Sp.1,mouse,Immgen,1,Immgen
B.GC.CC.Sp.2,mouse,Immgen,1,Immgen
B.GC.CC.Sp.3,mouse,Immgen,1,Immgen
B.mem.Sp.1,mouse,Immgen,1,Immgen
B.MZ.Sp.1,mouse,Immgen,1,Immgen
B.MZ.Sp.2,mouse,Immgen,1,Immgen
B.PB.Sp.1,mouse,Immgen,1,Immgen
B.PB.Sp.2,mouse,Immgen,1,Immgen
B.PC.BM.1,mouse,Immgen,1,Immgen
B.PC.Sp.2,mouse,Immgen,1,Immgen
B.Sp.4,mouse,Immgen,1,Immgen
B.T1.Sp.2,mouse,Immgen,1,Immgen
B.T2.Sp.1,mouse,Immgen,1,Immgen
B.T2.Sp.2,mouse,Immgen,1,Immgen
B.T3.Sp.2,mouse,Immgen,1,Immgen
B1b.PC.1,mouse,Immgen,1,Immgen
B1b.PC.2,mouse,Immgen,1,Immgen
BEC.SLN.1,mouse,Immgen,1,Immgen
BEC.SLN.2,mouse,Immgen,1,Immgen
BEC.SLN.3,mouse,Immgen,1,Immgen
DC.4..Sp.1,mouse,Immgen,1,Immgen
DC.4..Sp.2,mouse,Immgen,1,Immgen
DC.4..Sp.3,mouse,Immgen,1,Immgen
DC.8..Sp.1,mouse,Immgen,1,Immgen
DC.8..Sp.2,mouse,Immgen,1,Immgen
DC.8..Sp.3,mouse,Immgen,1,Immgen
DC.pDC.Sp.1,mouse,Immgen,1,Immgen
DC.pDC.Sp.2,mouse,Immgen,1,Immgen
Ep.MECHi.Th.1,mouse,Immgen,1,Immgen
Ep.MECHi.Th.2,mouse,Immgen,1,Immgen
FRC.CD140a.SLN.1,mouse,Immgen,1,Immgen
FRC.CD140a.SLN.2,mouse,Immgen,1,Immgen
FRC.CD140a.SLN.3,mouse,Immgen,1,Immgen
GN.BM.1,mouse,Immgen,1,Immgen
GN.BM.2,mouse,Immgen,1,Immgen
GN.Sp.3,mouse,Immgen,1,Immgen
GN.Sp.4,mouse,Immgen,1,Immgen
GN.Thio.PC.1,mouse,Immgen,1,Immgen
GN.Thio.PC.2,mouse,Immgen,1,Immgen
IAP.SLN.1,mouse,Immgen,1,Immgen
IAP.SLN.2,mouse,Immgen,1,Immgen
ILC2.SI.1,mouse,Immgen,1,Immgen
ILC2.SI.2,mouse,Immgen,1,Immgen
ILC2.ST2..SI.2,mouse,Immgen,1,Immgen
ILC2.ST2..SI.1,mouse,Immgen,1,Immgen
ILC3.CCR6..SI.1,mouse,Immgen,1,Immgen
ILC3.CCR6..SI.2,mouse,Immgen,1,Immgen
ILC3.NKp46..SI.1,mouse,Immgen,1,Immgen
ILC3.NKp46..SI.2,mouse,Immgen,1,Immgen
ILC3.NKp46.CCR6..SI.2,mouse,Immgen,1,Immgen
LEC.SLN.2,mouse,Immgen,1,Immgen
LEC.SLN.3,mouse,Immgen,1,Immgen
